trait_old	Trait	Bin_thresh	Variance	Standard.Error	Var_cum	x	y	var_x	var_y	Standard.Error_cum	se_cum
g	italic(g)	0.1	0.281681	0.0738195	0.5588897641076109	0.281681	0.504001	0.0738195	0.2054105	0.21835994347122512	0.15744267137034815
g	italic(g)	0.2	0.011039	0.035479	0.5807924984275825	0.29272000000000004	0.504001	0.10929849999999999	0.2054105	0.20324645713423756	0.15137771569991043
g	italic(g)	0.3	0.058928	0.034281	0.6977129013632909	0.351648	0.504001	0.1435795	0.2054105	0.17014399570564945	0.12769226016679303
g	italic(g)	0.4	0.075442	0.032733	0.8473991123033486	0.42709	0.504001	0.17631249999999998	0.2054105	0.09842112385440165	0.09287115701886275
g	italic(g)	0.5	0.076911	0.029098	1.0	0.504001	0.504001	0.2054105	0.2054105	0.0	0.0
Education	Education	0.1	0.136173	0.07376100000000001	0.36616866459076164	0.136173	0.371886	0.07376100000000001	0.20694	0.3433821536671187	0.19432755328811652
Education	Education	0.2	0.039886	0.035969	0.4734219626444663	0.176059	0.371886	0.10973000000000001	0.20694	0.37754331866510715	0.18746606881690187
Education	Education	0.3	0.093129	0.035521	0.7238454795286727	0.269188	0.371886	0.14525100000000002	0.20694	0.3138060517081688	0.15319312972399335
Education	Education	0.4	0.08966400000000001	0.033655	0.9649516249603374	0.358852	0.371886	0.178906	0.20694	0.19033451397737705	0.10932166792111536
Education	Education	0.5	0.013034	0.028034	1.0	0.371886	0.371886	0.20694	0.20694	0.0	0.0
vocabulary	Vocabulary	0.1	0.14450300000000002	0.0704365	0.32446918392642227	0.14450300000000002	0.445352	0.0704365	0.2017205	0.2317490545650913	0.16186546923667167
vocabulary	Vocabulary	0.2	0.076629	0.035409	0.4965330794517595	0.22113200000000002	0.445352	0.10584550000000001	0.2017205	0.25444954444115736	0.15757441012610005
vocabulary	Vocabulary	0.3	0.051253	0.033839	0.6116173274174137	0.27238500000000004	0.445352	0.1396845	0.2017205	0.2232362788117223	0.13314775653093155
vocabulary	Vocabulary	0.4	0.121759	0.033353	0.8850167957031742	0.39414400000000005	0.445352	0.1730375	0.2017205	0.12480612647783752	0.09709213001742567
vocabulary	Vocabulary	0.5	0.051208000000000004	0.028683	1.0	0.445352	0.445352	0.2017205	0.2017205	0.0	0.0
digit	Digit~Symbol~Test	0.1	0.106007	0.07069399999999999	0.4787273917853998	0.106007	0.221435	0.07069399999999999	0.195686	0.975966070101	0.22083653819529472
digit	Digit~Symbol~Test	0.2	1e-6	0.033691	0.4787319077833225	0.106008	0.221435	0.10438499999999999	0.195686	1.0051970121574847	0.21334171869342206
digit	Digit~Symbol~Test	0.3	0.036913	0.032628	0.645430939101768	0.142921	0.221435	0.137013	0.195686	0.8497713748351753	0.17758523477696436
digit	Digit~Symbol~Test	0.4	0.033446	0.031433	0.7964730056224174	0.176367	0.221435	0.16844599999999998	0.195686	0.49471926662881877	0.1278596804259741
digit	Digit~Symbol~Test	0.5	0.045068000000000004	0.02724	1.0	0.221435	0.221435	0.195686	0.195686	0.0	0.0
verbal_total	Verbal~Fluency	0.1	0.254662	0.0725225	0.6150736048884756	0.254662	0.414035	0.0725225	0.1976195	0.3387585421241319	0.1728900326181006
verbal_total	Verbal~Fluency	0.2	0.071275	0.035401	0.7872208871230694	0.32593700000000003	0.414035	0.1079235	0.1976195	0.35276271932727726	0.16362210977081523
verbal_total	Verbal~Fluency	0.3	6.06e-4	0.031661	0.7886845315009602	0.32654300000000003	0.414035	0.1395845	0.1976195	0.24694276952105507	0.1370821454501612
verbal_total	Verbal~Fluency	0.4	0.06186	0.030758	0.9380921902737691	0.388403	0.414035	0.1703425	0.1976195	0.14383593980115073	0.09798959879294637
verbal_total	Verbal~Fluency	0.5	0.025632	0.027277	1.0	0.414035	0.414035	0.1976195	0.1976195	0.0	0.0
TOTAL_LM	Logical~Memory	0.1	0.125956	0.071625	0.5808358657708217	0.125956	0.21685300000000002	0.071625	0.194792	1.1512395716342971	0.2295495672714153
TOTAL_LM	Logical~Memory	0.2	0.008202	0.034099	0.6186587227292221	0.134158	0.21685300000000002	0.10572399999999998	0.194792	1.0518667841202334	0.21947396589744125
TOTAL_LM	Logical~Memory	0.3	0.033187	0.032367	0.7716978782862124	0.16734500000000002	0.21685300000000002	0.138091	0.194792	0.8711070520216603	0.18201531859999928
TOTAL_LM	Logical~Memory	0.4	0.019984	0.030659000000000002	0.8638524714899033	0.18732900000000002	0.21685300000000002	0.16874999999999998	0.194792	0.4797762568841161	0.1270321713272722
TOTAL_LM	Logical~Memory	0.5	0.029524000000000005	0.026042	1.0	0.21685300000000002	0.21685300000000002	0.194792	0.194792	0.0	0.0
eysenck_N	Neuroticism	0.1	0.035524	0.0688285	0.31139551192145865	0.035524	0.11408	0.0688285	0.1853215	3.375748937350566	0.29186236936930066
eysenck_N	Neuroticism	0.2	1e-6	0.032287	0.31140427769985973	0.035525	0.11408	0.1011155	0.1853215	4.311506941082501	0.2791707782013161
eysenck_N	Neuroticism	0.3	0.023058000000000002	0.029204999999999995	0.5135255960729312	0.058583	0.11408	0.1303205	0.1853215	3.4842998597249446	0.2297772591972873
eysenck_N	Neuroticism	0.4	0.00867	0.029354	0.5895248948106593	0.06725300000000001	0.11408	0.1596745	0.1853215	2.75212820969078	0.16522023717398204
eysenck_N	Neuroticism	0.5	0.046826999999999994	0.025646999999999996	1.0	0.11408	0.11408	0.1853215	0.1853215	0.0	0.0
eysenck_E	Extraversion	0.1	0.169679	0.06962449999999999	0.8137261954431447	0.169679	0.208521	0.06962449999999999	0.18699749999999998	1.8429746780543275	0.22572510779987964
eysenck_E	Extraversion	0.2	1e-6	0.031977	0.8137309911231961	0.16968	0.208521	0.10160149999999998	0.18699749999999998	1.3815419443298498	0.21892586579263199
eysenck_E	Extraversion	0.3	0.010665000000000001	0.030728999999999996	0.8648769188714805	0.180345	0.208521	0.1323305	0.18699749999999998	0.996014171476521	0.1798051719656368
eysenck_E	Extraversion	0.4	0.010565	0.029626	0.9155432786146239	0.19091	0.208521	0.16195649999999998	0.18699749999999998	0.509304666951022	0.12676034991233226
eysenck_E	Extraversion	0.5	0.017611	0.025041	1.0	0.208521	0.208521	0.18699749999999998	0.18699749999999998	0.0	0.0
